,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy,collar_id,Duration,Time_Zone,latitude_utm,longitude_utm,Sum,Flag_Collar_Off,Distance,Rate
20,2d4efefa-fc24-4092-831d-629e0c56e7ae,2021-07-10 06:00:37+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9408004,-101.8442352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,5,b33d,,America/Denver,271735.7575,4869230.849,216,Ok,,
189,c2c078ae-740a-47d7-b01f-3f9b69f18959,2021-07-10 06:05:37+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9409161,-101.8441005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2,b33d,5,America/Denver,271747.0112,4869243.327,223,Ok,16.80341104,3.360682209
352,b46d264c-ebf8-4868-b696-ea91cbc2e697,2021-07-10 06:10:38+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9408436,-101.8439072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,b33d,5.016666667,America/Denver,271762.2474,4869234.74,252,Ok,17.48960065,3.486299134
514,efee11a6-b3e1-4453-af23-e732f725ff0d,2021-07-10 06:15:39+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9407734,-101.8441904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5.016666667,America/Denver,271739.2497,4869227.726,265,Ok,24.04345678,4.792715638
676,5a366c97-9ff3-43d2-8301-399f055793e4,2021-07-10 06:20:39+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9407729,-101.8444759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,b33d,5,America/Denver,271716.3342,4869228.46,278,Ok,22.92722498,4.585444996
839,caabf848-34b4-42f0-80e2-7f17881ac313,2021-07-10 06:25:39+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9407624,-101.844633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4,b33d,5,America/Denver,271703.6855,4869227.729,297,Ok,12.66981706,2.533963412
997,170b50a8-31ae-47bb-a4b1-5ef218cc1a05,2021-07-10 06:30:40+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9407459,-101.8446611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,b33d,5.016666667,America/Denver,271701.3671,4869225.974,316,Ok,2.90772782,0.579613519
1156,ffcfd19b-8a2a-42b8-8285-764f60ac3cf3,2021-07-10 06:35:40+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406417,-101.8445907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5,America/Denver,271706.6182,4869214.205,337,Ok,12.88687602,2.577375203
1494,ba55b69a-620b-41e3-a4fb-74a707efc9ca,2021-07-10 06:45:42+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406504,-101.8445688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,5,b33d,10.03333333,America/Denver,271708.4092,4869215.111,360,Ok,2.006958799,0.200029116
1671,8a90be80-52c4-462f-9ced-c8a081b485a2,2021-07-10 06:50:42+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9407161,-101.8445482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,b33d,5,America/Denver,271710.3141,4869222.352,387,Ok,7.486811593,1.497362319
1847,f777dc76-5742-4fe6-b686-8a0309a2c0bd,2021-07-10 06:55:43+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406303,-101.8446295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5.016666667,America/Denver,271703.4605,4869213.047,416,Ok,11.55655037,2.303631304
2013,4d9e276d-f416-4ff0-a7fc-5bcaf0197b3e,2021-07-10 07:00:44+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406288,-101.8446182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5.016666667,America/Denver,271704.3617,4869212.849,447,Ok,0.922637658,0.183914483
2172,8e126e84-235f-4e99-8ac5-5470e48bf14f,2021-07-10 07:05:44+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406985,-101.844606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,b33d,5,America/Denver,271705.6078,4869220.557,480,Ok,7.808019865,1.561603973
2320,62b44756-e8a7-4b6b-83c1-225789afc27f,2021-07-10 07:10:44+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406727,-101.8446137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2,b33d,5,America/Denver,271704.891,4869217.712,511,Ok,2.933273784,0.586654757
2471,243c7dc8-21d4-4c93-b4aa-2db36d9f2ae7,2021-07-10 07:15:44+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406434,-101.84461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,5,b33d,5,America/Denver,271705.0757,4869214.448,544,Ok,3.269867532,0.653973506
2617,ac7ca8b7-64f2-4c55-b685-43d207eea63a,2021-07-10 07:20:45+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406732,-101.8445652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5.016666667,America/Denver,271708.7854,4869217.634,585,Ok,4.889996653,0.974750163
2770,00dab119-cf7c-4df8-b7ff-5ac5cefbffed,2021-07-10 07:25:45+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9406308,-101.8445604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,b33d,5,America/Denver,271709.0083,4869212.911,624,Ok,4.727985001,0.945597
2930,87dd2b4b-dac7-44a6-a3e8-ad60905258b3,2021-07-10 07:30:45+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9405329,-101.844246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2,b33d,5,America/Denver,271733.8664,4869201.167,663,Ok,27.49268379,5.498536759
3084,5fef7350-a649-458f-ba67-d18c0a2ddc62,2021-07-10 07:35:45+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9405058,-101.8442206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,2,b33d,5,America/Denver,271735.8012,4869198.087,706,Ok,3.63755221,0.727510442
3249,dcd2f471-0a54-4bad-bb33-876b06d010ee,2021-07-10 07:40:45+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9405266,-101.8442319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5,America/Denver,271734.9739,4869200.428,751,Ok,2.483400346,0.496680069
3410,ded4fd3d-7b77-44a1-92a2-328d7b38fe24,2021-07-10 07:45:48+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9404842,-101.844142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5.05,America/Denver,271742.0268,4869195.47,798,Ok,8.621258218,1.707179845
3567,acf7f3a6-bdb0-4474-965b-a992474e5022,2021-07-10 07:50:46+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9405496,-101.8442729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,b33d,4.966666667,America/Denver,271731.7714,4869203.096,838,Ok,12.78014577,2.573183711
3730,0ef4035b-1cd6-46e4-93c3-5701a6fd1270,2021-07-10 07:55:47+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9405255,-101.8441678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5.016666667,America/Denver,271740.1143,4869200.129,884,Ok,8.854915921,1.765099519
3886,df2d5efe-9c78-4b40-a159-fc8688e8ea55,2021-07-10 08:00:47+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9405106,-101.8440979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,10,b33d,5,America/Denver,271745.6672,4869198.28,936,Ok,5.85252282,1.170504564
4052,77b8a533-a7c1-4c4a-b1bc-591b15b38741,2021-07-10 08:05:47+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9405527,-101.8441791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,b33d,5,America/Denver,271739.3115,4869203.181,952,Ok,8.025780885,1.605156177
4207,c89eb637-dab0-49c1-b479-9ea2c5978676,2021-07-10 08:10:47+06:00,00007cf2dd1fb33d,GpsLocationExtIndication,43.9405238,-101.8441535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b33d,5,America/Denver,271741.2554,4869199.9,980,Ok,3.813476854,0.762695371
