,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy,collar_id,Duration,Time_Zone,latitude_utm,longitude_utm,Sum,Flag_Collar_Off,Distance,Rate
50,6b7408e5-e329-4299-8db4-71fca669365f,2021-07-10 06:01:19+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.948754,-101.8492053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,52,b340,,America/Denver,271367.3811,4870128.035,74,Ok,,
214,7ff2975d-a2ab-477b-9197-41d51000e818,2021-07-10 06:06:23+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9487289,-101.8495722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,40,b340,5.066666667,America/Denver,271337.8423,4870126.264,81,Ok,29.59191114,5.840508777
382,97b343bb-69a8-4122-bf02-cdc7bd6970e0,2021-07-10 06:11:43+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9486983,-101.8494854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,66,b340,5.333333333,America/Denver,271344.6903,4870122.624,90,Ok,7.755048264,1.45407155
551,70eb0114-e87d-4d3a-93c4-a8acede4c604,2021-07-10 06:17:03+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9488599,-101.8490662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,31,b340,5.333333333,America/Denver,271378.9497,4870139.411,99,Ok,38.15131816,7.153372155
915,f080e39e-c689-492c-bd56-9c5fe083b62d,2021-07-10 06:28:03+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9489189,-101.8480511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,17,b340,11,America/Denver,271460.6344,4870143.152,110,Ok,81.77027407,7.433661279
1074,44ace237-5056-477b-9892-ec1b01f1adf7,2021-07-10 06:33:23+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9491646,-101.8470117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,28,b340,5.333333333,America/Denver,271544.9847,4870167.563,123,Ok,87.81153012,16.4646619
1250,974e9b53-ab31-491c-8d7b-faa1fe5a11cc,2021-07-10 06:38:43+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9488298,-101.8462564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,22,b340,5.333333333,America/Denver,271604.3115,4870128.284,138,Ok,71.15112532,13.340836
1453,236f6729-5335-4bdb-9885-d8da36b358b5,2021-07-10 06:44:33+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9488447,-101.846305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,13,b340,5.833333333,America/Denver,271600.4687,4870130.074,155,Ok,4.239131172,0.726708201
1647,e4758b36-8022-49cc-8a6e-5bd9ddc51296,2021-07-10 06:50:03+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9487634,-101.8462924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,23,b340,5.5,America/Denver,271601.1682,4870121.009,172,Ok,9.091991346,1.653089336
1836,74eb9428-5599-4bbd-91b5-6585846016e6,2021-07-10 06:55:23+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9487734,-101.8465251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,22,b340,5.333333333,America/Denver,271582.5331,4870122.764,193,Ok,18.71757265,3.509544872
2006,e00459be-cd80-4e55-b22c-0ea06b6aba45,2021-07-10 07:00:33+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9487174,-101.847205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,25,b340,5.166666667,America/Denver,271527.7586,4870118.427,214,Ok,54.94593652,10.63469739
2170,c6884eca-d9ac-4de3-a574-76090d602836,2021-07-10 07:05:43+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9486946,-101.8473697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,23,b340,5.166666667,America/Denver,271514.4545,4870116.351,239,Ok,13.46511277,2.606150859
2328,ab8163e6-1005-4b8b-b076-7696e591e385,2021-07-10 07:11:03+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9486993,-101.8472381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,29,b340,5.333333333,America/Denver,271525.033,4870116.508,266,Ok,10.57968641,1.983691201
2486,19f86fec-9a2c-40f6-a0c5-2bfd51c5bb6f,2021-07-10 07:16:13+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9489057,-101.8470333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,34,b340,5.166666667,America/Denver,271542.2588,4870138.866,295,Ok,28.22427134,5.462762194
2633,3aac5350-5694-482f-809c-c4572da441b4,2021-07-10 07:21:23+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.94895,-101.8471311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,22,b340,5.166666667,America/Denver,271534.5805,4870144.057,326,Ok,9.268569919,1.793916759
2793,d9784826-fe04-4b83-a42d-2652c1efe96e,2021-07-10 07:26:33+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9490727,-101.847546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,15,b340,5.166666667,America/Denver,271501.7567,4870158.835,359,Ok,35.99704775,6.967170532
2955,c50bf955-61c2-4945-9c3e-0f81e85df3f2,2021-07-10 07:31:43+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9491422,-101.847946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,33,b340,5.166666667,America/Denver,271469.9247,4870167.663,394,Ok,33.03341317,6.39356384
3114,8ea9474a-8620-47ca-8dab-d87490cb8d55,2021-07-10 07:36:53+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9490922,-101.8480404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,29,b340,5.166666667,America/Denver,271462.1577,4870162.371,431,Ok,9.398518109,1.819068021
3277,90514c83-4520-41ff-9d4f-44fc9855f3aa,2021-07-10 07:42:03+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9491151,-101.8482856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,24,b340,5.166666667,America/Denver,271442.5691,4870165.594,470,Ok,19.85195304,3.842313492
3443,a3a38bee-efdf-4ae0-a366-76fafca1f3f1,2021-07-10 07:47:07+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9490737,-101.8484214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,43,b340,5.066666667,America/Denver,271431.5128,4870161.372,511,Ok,11.83497053,2.335849446
3613,3bf999b7-0932-41f7-8bd8-83ab556e1eac,2021-07-10 07:52:13+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9491211,-101.848346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,25,b340,5.1,America/Denver,271437.7452,4870166.428,554,Ok,8.025237716,1.573576023
3774,d8ff4943-478d-4596-a0ce-985f1ef6f62b,2021-07-10 07:57:16+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9490752,-101.848405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,45,b340,5.05,America/Denver,271432.8346,4870161.493,592,Ok,6.961698599,1.378554178
3948,05bf1a9a-3c69-4b64-ae5a-32ab7961d555,2021-07-10 08:02:33+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9490133,-101.8484277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,90,b340,5.283333333,America/Denver,271430.7756,4870154.68,636,Ok,7.116815372,1.347031301
4117,1c1a4c04-d7c0-47ec-85b5-27fff34b7ad7,2021-07-10 08:07:43+06:00,00007cf2dd1fb340,GpsLocationExtIndication,43.9491334,-101.8485701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,46,b340,5.166666667,America/Denver,271419.8092,4870168.415,684,Ok,17.57541293,3.401692826
