,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy,collar_id,Duration,Time_Zone,latitude_utm,longitude_utm,Sum,Flag_Collar_Off,Distance,Rate
19,3f57dc16-8def-4f54-9edb-ae6518c907ea,2021-07-10 06:00:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9410436,-101.8446381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,70,b4a0,,America/Denver,271704.3532,4869258.976,210,Ok,,
186,572c35bb-4115-4e0e-9bbd-fe2f758549d8,2021-07-10 06:05:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9409269,-101.8443856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,1,b4a0,5,America/Denver,271724.1712,4869245.316,237,Ok,24.07016173,4.814032347
346,49bab472-bf48-4ed5-9e80-50f7c4f88c94,2021-07-10 06:10:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9408162,-101.8439182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,2,b4a0,5,America/Denver,271761.2597,4869231.727,262,Ok,39.49950326,7.899900653
506,41fa958f-6551-4a4f-94a3-1f5ce33845ee,2021-07-10 06:15:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9407469,-101.844098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4,b4a0,5,America/Denver,271746.564,4869224.527,293,Ok,16.36459407,3.272918815
670,adf807f7-8262-4659-88f8-a312a0fa2f71,2021-07-10 06:20:31+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9408312,-101.8444524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,b4a0,5,America/Denver,271718.4435,4869234.871,322,Ok,29.96262184,5.992524368
831,79199701-2f17-4fa4-ae3a-2058efde0018,2021-07-10 06:25:32+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940907,-101.8446184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4,b4a0,5.016666667,America/Denver,271705.4111,4869243.749,355,Ok,15.76941325,3.143404634
1007,5e70d588-98b9-47e0-8a06-68c3df90efcc,2021-07-10 06:30:58+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9411729,-101.8448147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,59,b4a0,5.433333333,America/Denver,271690.675,4869273.827,390,Ok,33.49319466,6.164391655
1234,a765ba8a-7043-4486-a7d4-136bb90c3e9e,2021-07-10 06:38:16+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.941431,-101.8454203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,31,b4a0,7.3,America/Denver,271643.06,4869304.171,427,Ok,56.46174056,7.734485008
1474,29601329-7a61-482d-90fd-f464dbed6dcb,2021-07-10 06:45:13+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9410185,-101.8447258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,11,b4a0,6.95,America/Denver,271697.2185,4869256.431,468,Ok,72.19543229,10.38783198
1653,656c80f2-d5f3-4066-a62c-e03adc630b27,2021-07-10 06:50:14+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9408643,-101.8444795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,1,b4a0,5.016666667,America/Denver,271716.3953,4869238.622,507,Ok,26.17072421,5.216755656
1829,3633ffc0-8451-468c-9ad5-b35701a89719,2021-07-10 06:55:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9407591,-101.8443364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4,b4a0,5.016666667,America/Denver,271727.4773,4869226.542,550,Ok,16.39373652,3.267854455
1997,7c910487-5278-438c-b026-a4403e86cfd3,2021-07-10 07:00:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940686,-101.8442314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,6,b4a0,5,America/Denver,271735.6244,4869218.132,595,Ok,11.70905265,2.341810529
2153,95568cbc-a2a6-45ff-8f12-08b872566c43,2021-07-10 07:05:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9405877,-101.8442447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4,b4a0,5,America/Denver,271734.1806,4869207.25,642,Ok,10.97693579,2.195387159
2304,9ac654c6-a0b1-4184-b6e4-0408232fad2b,2021-07-10 07:10:15+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406731,-101.8442131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,b4a0,5,America/Denver,271737.0438,4869216.648,691,Ok,9.824562797,1.964912559
2607,9be19c73-027d-4481-b8c7-fbdaf7e6d3de,2021-07-10 07:20:16+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940611,-101.844258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,b4a0,10.01666667,America/Denver,271733.2024,4869209.875,744,Ok,7.786789909,0.777383352
2759,1eb8fde3-c587-4e63-91e9-221bd79db171,2021-07-10 07:25:16+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.940658,-101.8442622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,2,b4a0,5,America/Denver,271733.0453,4869215.107,799,Ok,5.234356943,1.046871389
2913,58aa3e4b-7a0d-4f02-bed4-92a1d83d5ed6,2021-07-10 07:30:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406567,-101.8442699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,b4a0,5.016666667,America/Denver,271732.4223,4869214.984,854,Ok,0.635006493,0.126579367
3068,7fe9b07c-af9c-450b-9a7c-c4515835d03f,2021-07-10 07:35:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406539,-101.8442648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b4a0,5,America/Denver,271732.8209,4869214.659,911,Ok,0.514367816,0.102873563
3232,9ad1ea81-c9bc-4ddb-a289-b8c67287a75b,2021-07-10 07:40:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406441,-101.8443008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,b4a0,5,America/Denver,271729.8941,4869213.67,976,Ok,3.089353982,0.617870796
3388,07e40198-111a-4be7-a46c-0558235cf518,2021-07-10 07:45:17+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406757,-101.8442177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4,b4a0,5,America/Denver,271736.6845,4869216.95,1043,Ok,7.541077739,1.508215548
3543,72017f95-2d13-4af8-ba0a-007dc1fe67b7,2021-07-10 07:50:18+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406496,-101.8442969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,5,b4a0,5.016666667,America/Denver,271730.2282,4869214.27,1104,Ok,6.99042651,1.3934405
3706,8c246afd-7695-4d91-8895-9c821b59c870,2021-07-10 07:55:18+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406037,-101.8442493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4,b4a0,5,America/Denver,271733.8727,4869209.04,1094,Ok,6.374506872,1.274901374
3871,77b3d152-f802-4b86-9eeb-b3f0ae39e920,2021-07-10 08:00:19+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406523,-101.8442012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,8,b4a0,5.016666667,America/Denver,271737.9192,4869214.305,1144,Ok,6.64036406,1.32366061
4034,01bfb630-2a79-49a8-b7d0-d4f3c4987bd8,2021-07-10 08:05:19+06:00,00007cf2dd1fb4a0,GpsLocationExtIndication,43.9406233,-101.8442015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,b4a0,5,America/Denver,271737.7841,4869211.085,1198,Ok,3.223087635,0.644617527
