,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy,collar_id,Duration,Time_Zone,latitude_utm,longitude_utm,Sum,Flag_Collar_Off,Distance,Rate
24,77b879bb-b634-4113-9c4f-0ab63930bc5e,2021-07-10 06:00:43+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9390628,-101.8435359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,33,becd,,America/Denver,271785.2297,4869035.916,50,Ok,,
365,3e387c27-2156-419b-96ce-0c64f59158c7,2021-07-10 06:11:11+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9389843,-101.8438031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,29,becd,10.46666667,America/Denver,271763.4837,4869027.936,61,Ok,23.16393362,2.213114677
529,c40853be-a9c2-43fb-ac45-6de7cb68554a,2021-07-10 06:16:21+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9386442,-101.8435517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,17,becd,5.166666667,America/Denver,271782.3591,4868989.465,74,Ok,42.85204852,8.293944876
695,f678c3bc-8a7b-4ac0-b722-fbe4c62f5514,2021-07-10 06:21:28+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9384389,-101.8432488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,21,becd,5.116666667,America/Denver,271805.8842,4868965.824,89,Ok,33.35146433,6.518201497
869,387011a8-bd93-4d7b-9abf-9fc9b52b39b2,2021-07-10 06:26:43+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9380576,-101.843019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,16,becd,5.25,America/Denver,271822.8687,4868922.837,106,Ok,46.22098673,8.803997472
1027,88fc510b-f8c7-4066-8dff-c46fb9f87efa,2021-07-10 06:31:53+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9380083,-101.8427694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,29,becd,5.166666667,America/Denver,271842.7132,4868916.671,125,Ok,20.7804413,4.022020896
1195,9e4d5cb8-3329-4c95-8b2e-2f6e555ba8ad,2021-07-10 06:37:11+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9381688,-101.8423923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,39,becd,5.3,America/Denver,271873.594,4868933.455,146,Ok,35.14724405,6.631555481
1376,163e6a3d-753c-40c4-8c10-035fba9cffe7,2021-07-10 06:42:33+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9386365,-101.8424669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,16,becd,5.366666667,America/Denver,271869.3962,4868985.609,169,Ok,52.32322876,9.749669955
1559,e8202812-af51-477d-8c57-5429a1e6d66d,2021-07-10 06:47:43+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9389427,-101.8425771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,47,becd,5.166666667,America/Denver,271861.7233,4869019.924,194,Ok,35.16230339,6.805607107
1738,04b4f97e-0886-4076-af86-621a09e36416,2021-07-10 06:52:53+06:00,00007cf2dd1fbecd,GpsLocationExtIndication,43.9389815,-101.8427716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,24,becd,5.166666667,America/Denver,271846.2612,4869024.772,219,Ok,16.20413515,3.136284223
