,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy,collar_id,Duration,Time_Zone,latitude_utm,longitude_utm,Sum,Flag_Collar_Off,Distance,Rate
14,723f4c66-4c44-4d8c-a83e-a7387c11e153,2021-07-10 06:00:21+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9486089,-101.8488902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,38,bfd4,,America/Denver,271392.1103,4870111.045,46,Ok,,
179,8497a78e-f383-4454-af49-9f272e58a54b,2021-07-10 06:05:22+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9485806,-101.8493388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,36,bfd4,5.016666667,America/Denver,271356.0029,4870109.145,55,Ok,36.15735302,7.207445785
348,3807881d-eb03-4f4c-aeb0-5fc30ab42f84,2021-07-10 06:10:33+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9488004,-101.8496721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,15,bfd4,5.183333333,America/Denver,271330.0999,4870134.482,66,Ok,36.23471661,6.990620568
519,b78a01d0-20b7-4c16-a82c-171aad4b05da,2021-07-10 06:15:43+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9488515,-101.8494283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,12,bfd4,5.166666667,America/Denver,271349.8602,4870139.482,79,Ok,20.38298135,3.945093165
679,8f505c00-7a86-4700-abab-e1a529dbf3a3,2021-07-10 06:20:44+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9490605,-101.8488216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,58,bfd4,5.016666667,America/Denver,271399.3476,4870161.015,94,Ok,53.96897159,10.75793454
840,2ffbb889-91bb-459a-8673-b9dd0295e1ff,2021-07-10 06:25:46+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9490835,-101.8485406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,71,bfd4,5.033333333,America/Denver,271421.985,4870162.791,109,Ok,22.70702103,4.511328682
1006,5ea13da2-d4f3-4d51-ab85-6ee2b658013d,2021-07-10 06:30:53+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9495998,-101.8477395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,23,bfd4,5.116666667,America/Denver,271488.2502,4870217.917,128,Ok,86.19768664,16.84645341
1167,0695c794-e59e-4141-b109-c70890829859,2021-07-10 06:35:54+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.949283,-101.8467295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,1,bfd4,5.016666667,America/Denver,271568.084,4870179.932,149,Ok,88.40988649,17.62323319
1335,a8ab1622-981d-4db2-b67a-0c4f73f85415,2021-07-10 06:40:55+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9485701,-101.8464095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,bfd4,5.016666667,America/Denver,271591.0304,4870099.863,172,Ok,83.29250529,16.6031572
1507,106e79b6-f39b-4462-8a19-e09e7a3537f1,2021-07-10 06:45:55+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9483101,-101.8463114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,3,bfd4,5,America/Denver,271597.9062,4870070.712,173,Ok,29.95028276,5.990056553
1574,bac6b64d-9ebd-4334-8a12-3b7165c882b8,2021-07-10 06:48:11+06:00,00007cf2dd1fbfd4,ShockEventExtIndication,43.9482694,-101.8462548,SOUND_REGION,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,15,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,bfd4,2.266666667,America/Denver,271602.2922,4870066.035,198,Ok,6.412082957,2.828860128
1680,b8ddb302-1504-4013-944c-1bc9056ec48d,2021-07-10 06:50:55+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9481746,-101.8466012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,bfd4,2.733333333,America/Denver,271574.1311,4870056.465,225,Ok,29.74290089,10.88154911
1854,72d572f8-00c0-4eef-b3b6-50ff5881360d,2021-07-10 06:55:55+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9482007,-101.8468882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,4,bfd4,5,America/Denver,271551.2001,4870060.159,254,Ok,23.22661459,4.645322917
2029,eb191444-0dba-4c84-b4dd-4f760ba56e8c,2021-07-10 07:01:15+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9482704,-101.8472607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,34,bfd4,5.333333333,America/Denver,271521.5751,4870068.932,285,Ok,30.89683035,5.793155691
2213,6f6e817c-7d13-4487-9189-6277b148e4c6,2021-07-10 07:06:57+06:00,00007cf2dd1fbfd4,GpsLocationExtIndication,43.9481585,-101.8477162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,34,bfd4,5.7,America/Denver,271484.5933,4870057.765,314,Ok,38.63107426,6.777381449
