,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy,collar_id,Duration,Time_Zone,latitude_utm,longitude_utm,Sum,Flag_Collar_Off,Distance,Rate
38,07724df2-0d53-4ebc-a983-ca615c3f897d,2021-07-10 06:01:04+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9483124,-101.8487863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,66,bfde,,America/Denver,271399.3106,4870077.824,72,Ok,,
207,90224d3e-c687-4ae8-9d41-8c45524d2f0e,2021-07-10 06:06:13+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9482432,-101.8490682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,9,bfde,5.15,America/Denver,271376.4234,4870070.919,85,Ok,23.90612028,4.641965103
371,11515116-a8dc-47be-9979-384de3bbcd96,2021-07-10 06:11:14+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9483328,-101.849483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,36,bfde,5.016666667,America/Denver,271343.4805,4870082.021,98,Ok,34.76326564,6.929554613
533,282cc285-6305-4057-a4bc-c5acb988f1c8,2021-07-10 06:16:23+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9483602,-101.8492669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,6,bfde,5.15,America/Denver,271360.9271,4870084.465,113,Ok,17.61698885,3.420774534
699,7d699b50-b4da-4cbc-a046-5e6a9db43add,2021-07-10 06:21:33+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9483479,-101.8487085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,8,bfde,5.166666667,America/Denver,271405.69,4870081.551,130,Ok,44.85769115,8.682133771
867,6cd79321-d711-47f8-b567-befd908cc54c,2021-07-10 06:26:34+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9483907,-101.8479984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,38,bfde,5.016666667,America/Denver,271462.8378,4870084.338,149,Ok,57.21568417,11.40511977
1144,17607179-75b8-4559-b0bc-89b35ccca2f2,2021-07-10 06:35:23+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9484349,-101.8472345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,40,bfde,8.816666667,America/Denver,271524.3082,4870087.131,172,Ok,61.5338194,6.97926118
1309,dfb3909f-c8ce-41e3-bdf1-e8bfea4dcc5d,2021-07-10 06:40:23+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9484318,-101.8469309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,1,bfde,5,America/Denver,271548.6594,4870085.946,197,Ok,24.38001335,4.876002669
1482,d287f354-d5d2-4b92-8e05-c2da650fd890,2021-07-10 06:45:24+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9483427,-101.8465531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,bfde,5.016666667,America/Denver,271578.6353,4870075.003,222,Ok,31.91080749,6.360958304
1659,39251173-66dd-402c-b991-a3ff1ff4e257,2021-07-10 06:50:24+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9482925,-101.8466177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,5,bfde,5,America/Denver,271573.2589,4870069.606,243,Ok,7.617900646,1.523580129
1838,b9df3417-b23e-4789-80ad-d9179202b9e6,2021-07-10 06:55:32+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9482968,-101.8467934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,5,bfde,5.133333333,America/Denver,271559.1759,4870070.57,266,Ok,14.11596354,2.749863027
2012,f51dacd8-1cef-47a1-85ff-0dfd7008a42d,2021-07-10 07:00:41+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9483366,-101.8471698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,36,bfde,5.15,America/Denver,271529.1234,4870076.033,291,Ok,30.54508702,5.931084858
2185,598a19ae-af80-4b95-9fb6-d51111757e31,2021-07-10 07:06:13+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9483394,-101.8476724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,20,bfde,5.533333333,America/Denver,271488.8018,4870077.736,318,Ok,40.35756542,7.293535919
2433,da580340-cebb-4a81-b125-ffc068987294,2021-07-10 07:14:23+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9484395,-101.84806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,24,bfde,8.166666667,America/Denver,271458.0818,4870089.928,335,Ok,33.05098632,4.047059549
2877,cf3e610b-8cb7-44db-baa3-ccb3c395c93d,2021-07-10 07:29:16+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9487875,-101.8484373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,17,bfde,14.88333333,America/Denver,271429.1392,4870129.627,370,Ok,49.12883039,3.300929253
3035,9fa2f07e-aa40-450b-a4d7-27d02ed0472e,2021-07-10 07:34:23+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9489232,-101.8484908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,19,bfde,5.116666667,America/Denver,271425.3665,4870144.848,405,Ok,15.68131981,3.064753057
3204,b6e7e6ee-d009-4b84-be5c-4f9bba588207,2021-07-10 07:39:33+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.94906,-101.8484842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,53,bfde,5.166666667,America/Denver,271426.4208,4870160.024,440,Ok,15.21293964,2.944439931
3365,b6c678ce-b5f1-42f7-a479-c22fbbdaf9b2,2021-07-10 07:44:35+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9490412,-101.8485014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,43,bfde,5.033333333,America/Denver,271424.9685,4870157.984,477,Ok,2.50457904,0.497598485
3523,8b1e2143-644e-4ef0-915c-6a59686794d8,2021-07-10 07:49:37+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9490795,-101.8486405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,48,bfde,5.033333333,America/Denver,271413.9531,4870162.623,516,Ok,11.95255762,2.374680322
3692,15b1eca8-e5b3-4175-828b-abc4def7971f,2021-07-10 07:54:43+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9489947,-101.8486879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,18,bfde,5.1,America/Denver,271409.8241,4870153.336,559,Ok,10.16399742,1.992940671
3855,ef92ee45-6170-4cd0-9d22-784df89c285a,2021-07-10 07:59:44+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9489393,-101.8486377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,49,bfde,5.016666667,America/Denver,271413.64,4870147.043,606,Ok,7.359111867,1.466932598
4016,b170a2ba-2e28-483c-a414-b5663fe71a24,2021-07-10 08:04:53+06:00,00007cf2dd1fbfde,GpsLocationExtIndication,43.9490148,-101.8487086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,22,bfde,5.15,America/Denver,271408.2401,4870155.625,646,Ok,10.13985111,1.968903129
