,uuid,date,collar,messagetype,latitude,longitude,trackingState,headingReportingEnabled,headingManagementEnabled,soundDisabled,shockDisabled,soundSuspended,shockSuspended,soundEvent,shockEvent,shockCount,soundCount,shockCountAttempts,soundCountAttempts,shockCountApplied,soundCountApplied,shockCountSuspend,soundCountSuspend,shockCountCumulative,currVoltageMv,lastTxVoltageMv,lastShockVoltageMv,mmuTempDegC,mcuTempDegC,reliable,more,sequence,accuracy,collar_id,Duration,Time_Zone,latitude_utm,longitude_utm,Sum,Flag_Collar_Off,Distance,Rate
22,8b8e20c5-b80e-47b3-ae7c-2617cdb9a320,2021-07-10 06:00:39+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.9483998,-101.848833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,14,bfe6,,America/Denver,271395.8983,4870087.661,76,Ok,,
194,e1ac39fd-cf99-4bde-8ac1-068529d9a08c,2021-07-10 06:05:47+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.9482616,-101.8490432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,22,bfe6,5.133333333,America/Denver,271378.5002,4870072.893,81,Ok,22.82054308,4.44556034
358,9ba95054-de00-4cea-9fce-c723652f7e7f,2021-07-10 06:10:54+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.9480837,-101.8489406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,45,bfe6,5.116666667,America/Denver,271386.0511,4870052.849,88,Ok,21.41918809,4.186160539
523,c3b8a9f5-c1fc-4366-9fda-c77e4ca15f92,2021-07-10 06:16:02+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.9481514,-101.8486402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,9,bfe6,5.133333333,America/Denver,271410.4172,4870059.536,97,Ok,25.26704394,4.922151417
689,26f12d7f-46a5-4ac8-9088-718972d4088e,2021-07-10 06:21:09+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.9481641,-101.8482796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,14,bfe6,5.116666667,America/Denver,271439.4032,4870059.948,108,Ok,28.98893084,5.665589089
859,eff07391-d13d-43be-a66e-7fec05aa4c3f,2021-07-10 06:26:17+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.948216,-101.8479493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,15,bfe6,5.133333333,America/Denver,271466.1081,4870064.797,121,Ok,27.1415681,5.28731846
1104,e6a7892a-e8b0-49ee-a3d8-392766d08838,2021-07-10 06:34:17+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.9482872,-101.8471998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,34,bfe6,8,America/Denver,271526.5266,4870070.629,136,Ok,60.69934065,7.587417581
1271,125afa30-6582-4436-ac13-9f79ce81ebf6,2021-07-10 06:39:17+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.948337,-101.8467513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,1,bfe6,5,America/Denver,271562.7084,4870074.918,153,Ok,36.43522888,7.287045775
1445,a3deb31c-f94c-4568-98fc-e9f3043b36a3,2021-07-10 06:44:17+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.9483412,-101.8464444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,3,bfe6,5,America/Denver,271587.3525,4870074.535,172,Ok,24.64700662,4.929401324
1620,f9ceb928-4921-459a-ad71-4363e6d6aea1,2021-07-10 06:49:18+06:00,00007cf2dd1fbfe6,GpsLocationExtIndication,43.9481033,-101.8464902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,4,bfe6,5.016666667,America/Denver,271582.7653,4870048.238,195,Ok,26.69428174,5.321119284
